tf_minutes,require_bias,tp_r,sl_atr_buffer,trail_atr,spread_gate,min_score,n,wr,pf,exp,total_r
15,False,1.0,0.5,1.5,0.45,70,910,47.14285714285714,0.7719756564843903,-0.13090570504990892,-119.12419159541712
15,False,1.0,1.0,0.0,0.2,0,1155,49.43722943722943,0.8872271747392974,-0.05867210028157698,-67.76627582522141
15,False,1.0,1.0,0.0,0.2,60,901,48.723640399556054,0.8571728486453952,-0.07508971467354678,-67.65583292086565
15,False,1.0,1.0,0.0,0.2,70,521,47.408829174664106,0.8072836389150648,-0.10437547175168006,-54.37962078262531
15,False,1.0,1.0,0.0,0.45,0,2635,46.37571157495256,0.7503381052740024,-0.1428872553343983,-376.5079178061395
15,False,1.0,1.0,0.0,0.45,60,1747,46.88036634230109,0.7674534582384971,-0.13048364219444533,-227.954922913696
15,False,1.0,1.0,0.0,0.45,70,930,46.55913978494623,0.7667169196325486,-0.13061966511402098,-121.4762885560395
15,False,1.0,1.0,1.5,0.2,0,1155,49.43722943722943,0.8872271747392974,-0.05867210028157698,-67.76627582522141
15,False,1.0,1.0,1.5,0.2,60,901,48.723640399556054,0.8571728486453952,-0.07508971467354678,-67.65583292086565
15,False,1.0,1.0,1.5,0.2,70,521,47.408829174664106,0.8072836389150648,-0.10437547175168006,-54.37962078262531
15,False,1.0,1.0,1.5,0.45,0,2635,46.37571157495256,0.7503381052740024,-0.1428872553343983,-376.5079178061395
15,False,1.0,1.0,1.5,0.45,60,1747,46.88036634230109,0.7674534582384971,-0.13048364219444533,-227.954922913696
15,False,1.0,1.0,1.5,0.45,70,930,46.55913978494623,0.7667169196325486,-0.13061966511402098,-121.4762885560395
15,False,1.5,0.5,0.0,0.2,0,1158,38.34196891191709,0.816164812069004,-0.12078547691973901,-139.86958227305777
15,False,1.5,0.5,0.0,0.2,60,971,37.48712667353244,0.7876421147482081,-0.14090099192225622,-136.8148631565108
15,False,1.5,0.5,0.0,0.2,70,579,37.30569948186528,0.7764219000971213,-0.14886599302857592,-86.19340996354546
15,False,1.5,0.5,0.0,0.45,0,2652,36.53846153846153,0.724769813630734,-0.19233715405054194,-510.0781325420372
15,False,1.5,0.5,0.0,0.45,60,1941,36.78516228748068,0.7352959660722336,-0.18259182526845621,-354.41073284607353
15,False,1.5,0.5,0.0,0.45,70,1096,36.13138686131387,0.7240852455798484,-0.19058200747563664,-208.87788019329776
15,False,1.5,0.5,1.5,0.2,0,1162,44.061962134251296,0.7603700199554105,-0.13553465849193982,-157.4912731676341
15,False,1.5,0.5,1.5,0.2,60,974,43.53182751540041,0.7313590128178049,-0.1526432047381046,-148.67448141491388
15,False,1.5,0.5,1.5,0.2,70,580,43.44827586206896,0.7389745508609293,-0.1484411911843351,-86.09589088691436
15,False,1.5,0.5,1.5,0.45,0,2662,42.11119459053344,0.6719521281522216,-0.19900016002259466,-529.738425980147
15,False,1.5,0.5,1.5,0.45,60,1949,42.893791688045155,0.680036411201809,-0.19013813591401668,-370.5792268964185
15,False,1.5,0.5,1.5,0.45,70,1098,43.62477231329691,0.7052900246098806,-0.172973908126075,-189.92535112243036
15,False,1.5,1.0,0.0,0.2,0,1142,41.24343257443082,0.909175903835834,-0.0542626520721442,-61.96794866638868
15,False,1.5,1.0,0.0,0.2,60,944,40.57203389830508,0.8783134971566398,-0.07346630867943654,-69.3521953933881
