tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
0.8,0.0,False,1.1,0.62,70,111,57.65765765765766,0.9343818072794907,-0.029914136748547794
0.8,0.0,False,1.1,0.62,75,63,55.55555555555556,0.8462970967138188,-0.07356110102593653
1.0,0.0,False,1.1,0.5,0,231,46.75324675324675,0.7924703855928122,-0.11171433883779908
1.0,0.0,False,1.1,0.5,60,221,46.60633484162896,0.784039229209412,-0.11695896375650067
1.0,0.0,False,1.1,0.5,65,197,48.73096446700508,0.8636970338703767,-0.06981829364682944
1.0,0.0,False,1.1,0.5,70,151,50.331125827814574,0.9295820982575931,-0.034516044176725304
1.0,0.0,False,1.1,0.5,75,75,40.0,0.638769564497021,-0.20667500534972527
1.0,0.0,False,1.1,0.62,0,175,44.57142857142857,0.7067674380999703,-0.16930917374822713
1.0,0.0,False,1.1,0.62,60,168,45.23809523809524,0.7215684495967639,-0.15980541320635835
1.0,0.0,False,1.1,0.62,65,147,47.61904761904761,0.8018948049279677,-0.10730811857526434
1.0,0.0,False,1.1,0.62,70,116,50.0,0.8856807796136184,-0.05891810432556503
1.0,0.0,False,1.1,0.62,75,64,43.75,0.6881862956548459,-0.18019856220359776
1.25,0.0,False,0.5,0.5,0,221,45.248868778280546,0.8963978873466625,-0.06075981469710949
1.25,0.0,False,0.5,0.5,60,211,45.023696682464454,0.8898642226907831,-0.06470577617261941
1.25,0.0,False,0.5,0.5,65,190,46.31578947368421,0.9421121632530012,-0.03298673892030011
1.25,0.0,False,0.5,0.5,70,151,48.34437086092716,1.0220733879027482,0.01215678657479467
1.25,0.0,False,0.5,0.5,75,77,36.36363636363637,0.6257970427719582,-0.2541082253255706
1.25,0.0,False,0.5,0.62,0,162,39.50617283950617,0.7025088768140019,-0.1967687148907079
1.25,0.0,False,0.5,0.62,60,157,40.12738853503185,0.7224582969045596,-0.1813410381438127
1.25,0.0,False,0.5,0.62,65,143,40.55944055944056,0.7373667157171464,-0.1697661812619409
1.25,0.0,False,0.5,0.62,70,112,41.964285714285715,0.7856748165685445,-0.13595831427358349
1.25,0.0,False,0.5,0.62,75,65,38.46153846153847,0.6726045299608553,-0.2231823399797923
1.25,0.0,False,0.8,0.5,0,231,43.290043290043286,0.8276981242276649,-0.10154566966397147
1.25,0.0,False,0.8,0.5,60,221,42.98642533936652,0.8176476392986661,-0.10774174217460376
1.25,0.0,False,0.8,0.5,65,200,44.0,0.8646393528282438,-0.0778870096205992
1.25,0.0,False,0.8,0.5,70,155,47.096774193548384,0.9986007448416714,-0.0007455068035680011
1.25,0.0,False,0.8,0.5,75,78,38.46153846153847,0.7187103458463869,-0.17188675393598993
1.25,0.0,False,0.8,0.62,0,175,41.714285714285715,0.7780323496266889,-0.13794838089299039
1.25,0.0,False,0.8,0.62,60,168,42.26190476190476,0.7982211000252033,-0.12383845835150294
1.25,0.0,False,0.8,0.62,65,147,44.21768707482993,0.8700540250813388,-0.07632055473726197
1.25,0.0,False,0.8,0.62,70,117,47.008547008547005,0.9787322251379442,-0.011863296738358835
1.25,0.0,False,0.8,0.62,75,66,39.39393939393939,0.6970083534673901,-0.19380282065576096
1.25,0.0,False,1.1,0.5,0,231,43.722943722943725,0.8410250626387481,-0.09021584949165674
1.25,0.0,False,1.1,0.5,60,222,43.69369369369369,0.8338670721392542,-0.094670659594116
1.25,0.0,False,1.1,0.5,65,199,45.22613065326633,0.9136931940893004,-0.04715935165008293
1.25,0.0,False,1.1,0.5,70,153,47.05882352941176,0.9999249822867281,-3.855903116854026e-05
1.25,0.0,False,1.1,0.5,75,80,40.0,0.810039730957393,-0.10738734294452454
1.25,0.0,False,1.1,0.62,0,184,41.84782608695652,0.7700000852379146,-0.13844146739227023
1.25,0.0,False,1.1,0.62,60,177,41.80790960451977,0.7616014453752795,-0.14453547416840085
1.25,0.0,False,1.1,0.62,65,155,44.516129032258064,0.8584555216743277,-0.08054532950491698
1.25,0.0,False,1.1,0.62,70,119,47.05882352941176,0.96679028672374,-0.01781306338780103
