retr_frac,sl_atr_buffer,tp_r,tp1_frac,breakeven_after_tp1,entry_expiry,min_score,n,wr,pf,exp,total_r
0.35,0.8,2.5,0.5,False,6,60,259,39.768339768339764,0.755821173555964,-0.13087489835202043,-33.896598673173294
0.35,0.8,2.5,0.5,False,6,65,241,41.078838174273855,0.8109181845546966,-0.09844396438669159,-23.724995417192673
0.35,0.8,2.5,0.5,False,6,70,187,45.45454545454545,1.0204317792867836,0.009277080429766774,1.7348140403663868
0.35,0.8,2.5,0.5,False,6,75,109,43.11926605504588,0.9695071235756706,-0.014039290816276013,-1.5302826989740854
0.35,0.8,2.5,0.5,False,10,0,285,38.24561403508772,0.7238310542313896,-0.1508712201843023,-42.998297752526156
0.35,0.8,2.5,0.5,False,10,55,282,38.652482269503544,0.7344095087812811,-0.14452359458820838,-40.75565367387476
0.35,0.8,2.5,0.5,False,10,60,276,38.768115942028984,0.730080449948853,-0.14779331863144546,-40.79095594227895
0.35,0.8,2.5,0.5,False,10,65,258,39.922480620155035,0.7747848201950227,-0.12027071689891898,-31.029844959921096
0.35,0.8,2.5,0.5,False,10,70,201,43.78109452736319,0.9456263589401548,-0.025724523463858846,-5.170629216235628
0.35,0.8,2.5,0.5,False,10,75,119,42.016806722689076,0.9155841251826539,-0.04023899990237296,-4.788440988382382
0.35,0.8,3.0,0.0,False,6,0,267,34.831460674157306,0.7595751812447065,-0.1537709067106507,-41.056832091743736
0.35,0.8,3.0,0.0,False,6,55,265,35.094339622641506,0.7694909510824861,-0.14662752129756068,-38.85629314385358
0.35,0.8,3.0,0.0,False,6,60,262,35.11450381679389,0.7619568588088597,-0.1511929482098764,-39.61255243098761
0.35,0.8,3.0,0.0,False,6,65,243,35.80246913580247,0.8116633541833475,-0.11708933793800738,-28.452709118935793
0.35,0.8,3.0,0.0,False,6,70,198,38.38383838383838,0.9369369868568349,-0.03667057781607427,-7.260774407582704
0.35,0.8,3.0,0.0,False,6,75,121,38.01652892561984,1.009389803413998,0.00530762465536218,0.6422225832988238
0.35,0.8,3.0,0.0,False,10,0,285,34.03508771929825,0.7385619020710654,-0.16989053318719208,-48.41880195834974
0.35,0.8,3.0,0.0,False,10,55,283,34.275618374558306,0.747442903053934,-0.16331541699809038,-46.21826301045958
0.35,0.8,3.0,0.0,False,10,60,279,34.40860215053764,0.7448164708447483,-0.16439085837982273,-45.86504948797054
0.35,0.8,3.0,0.0,False,10,65,260,35.0,0.7891427123395959,-0.1333251633001244,-34.664542458032344
0.35,0.8,3.0,0.0,False,10,70,212,37.264150943396224,0.8866320101151444,-0.06756227104034362,-14.323201460552848
0.35,0.8,3.0,0.0,False,10,75,133,36.84210526315789,0.9444870290064826,-0.03234120825995806,-4.301380698574421
0.35,0.8,2.5,0.0,False,6,0,267,35.2059925093633,0.7391369674270521,-0.16572051358042095,-44.24737712597239
0.35,0.8,2.5,0.0,False,6,55,264,35.60606060606061,0.7536394405160916,-0.15523997112795102,-40.98335237777907
0.35,0.8,2.5,0.0,False,6,60,259,35.521235521235525,0.7512262599820925,-0.15666021381848705,-40.57499537898815
0.35,0.8,2.5,0.0,False,6,65,241,36.51452282157676,0.8040933324845227,-0.12008131667614327,-28.93959731895053
0.35,0.8,2.5,0.0,False,6,70,187,40.106951871657756,0.977571417899821,-0.012476882292088305,-2.333176988620513
0.35,0.8,2.5,0.0,False,6,75,109,38.53211009174312,0.9266439938992617,-0.04173066574439199,-4.548642566138727
0.35,0.8,2.5,0.0,False,10,0,285,34.385964912280706,0.7141621486936182,-0.18459419997395923,-52.60934699257838
0.35,0.8,2.5,0.0,False,10,55,282,34.751773049645394,0.7270558632476387,-0.17498341221413144,-49.345322244385066
0.35,0.8,2.5,0.0,False,10,60,276,34.78260869565217,0.7289066543365367,-0.17328801607235897,-47.827492435971074
0.35,0.8,2.5,0.0,False,10,65,258,35.65891472868217,0.7755208088464443,-0.14012182425599642,-36.151430658047076
0.35,0.8,2.5,0.0,False,10,70,201,38.80597014925373,0.914126210166816,-0.04923186090343613,-9.895604041590662
0.35,0.8,2.5,0.0,False,10,75,119,37.81512605042017,0.8783376375650449,-0.07112424077239621,-8.463784651915148
0.35,0.8,2.5,0.5,True,6,0,269,47.58364312267658,0.7215156743872255,-0.14807516862868994,-39.83222036111759
0.35,0.8,2.5,0.5,True,6,55,266,47.744360902255636,0.7296541238876637,-0.1431938957987451,-38.0895762824662
0.35,0.8,2.5,0.5,True,6,60,261,47.509578544061306,0.7300289068200385,-0.14345789438988124,-37.442510435759004
0.35,0.8,2.5,0.5,True,6,65,243,48.559670781893004,0.7785645631932444,-0.11436356073974825,-27.790345259758826
0.35,0.8,2.5,0.5,True,6,70,189,53.43915343915344,0.9909547739153682,-0.004075596686851524,-0.7702877738149381
0.35,0.8,2.5,0.5,True,6,75,110,51.81818181818182,0.959847961205061,-0.01849736202173174,-2.0347098223904916
0.35,0.8,2.5,0.5,True,10,0,287,46.68989547038328,0.6962935592259085,-0.16428529263279884,-47.14987898561327
